res_num_x,res_num_y,res_num
7.qualification,Sub161,0.389065176
11.CGPA,Sub200,0.387327342
6.weight,Sub210,0.3862229
13.anime,Sub24,0.38607699
3.gender,Sub210,0.385816026
13.DIY,Sub220,0.383616322
5.height,Sub235,0.382275051
2.Frequency,Sub176,0.381538073
13.skincare,Sub172,0.381452764
13.anime,Sub121,0.380085731
13.collection,Sub29,0.379561155
13.collection,Sub59,0.378205801
13.DIY,Sub218,0.377849823
13.TV series,Sub17,0.377766847
2.Frequency,Sub218,0.372487056
13.anime,Sub216,0.372225844
13.personal finance,Sub176,0.368986741
13.online shopping,Sub213,0.367782304
6.weight,Sub171,0.367238021
13.technology,Sub137,0.365521259
13.music,Sub232,0.364499231
2.Frequency,Sub221,0.364130586
13.technology,Sub95,0.363966848
13.DIY,Sub30,0.363796279
13.keep pets,Sub221,0.363776445
13.game,Sub31,0.362854555
13.TV series,Sub158,0.362133978
13.keep pets,Sub237,0.362080747
12.monthly expenditure,Sub224,0.361644426
13.anime,Sub225,0.361242726
6.weight,Sub226,0.359580709
6.weight,Sub235,0.357024192
13.dancing,Sub158,0.355499612
13.anime,Sub224,0.355431668
6.weight,Sub1,0.35338547
13.online shopping,Sub76,0.352488027
5.height,Sub210,0.352338813
13.skincare,Sub154,0.34922677
13.DIY,Sub228,0.348697747
3.gender,Sub31,0.348348003
13.DIY,Sub238,0.347662728
7.qualification,Sub184,0.347296757
12.monthly expenditure,Sub47,0.347138751
7.qualification,Sub160,0.346674434
13.automobile,Sub185,0.346034576
2.Frequency,Sub182,0.345905545
2.Frequency,Sub138,0.345903195
2.Frequency,Sub239,0.345743192
12.monthly expenditure,Sub25,0.345104729
12.monthly expenditure,Sub136,0.344045164
13.music,Sub205,0.343981239
13.keep pets,Sub169,0.343559108
13.keep pets,Sub169,0.343559108
13.travelling,Sub182,0.343472072
13.TV series,Sub212,0.343400855
3.gender,Sub153,0.343016579
3.gender,Sub176,0.34129053
13.anime,Sub170,0.341175669
13.DIY,Sub205,0.34022473
13.anime,Sub31,0.340143846
13.personal finance,Sub226,0.339219744
13.keep pets,Sub75,0.33861714
13.dancing,Sub159,0.338126791
7.qualification,Sub152,0.336678032
13.anime,Sub158,0.336392405
8.living area,Sub20,0.335971084
13.collection,Sub153,0.335524552
13.keep pets,Sub159,0.335032689
13.DIY,Sub203,0.333623682
13.TV series,Sub121,0.332204559
13.DIY,Sub26,0.332193633
13.technology,Sub159,0.331769723
13.TV series,Sub65,0.331247735
3.gender,Sub27,0.331074109
13.DIY,Sub232,0.331048688
9.status,Sub200,0.330941451
13.DIY,Sub236,0.330683288
2.Frequency,Sub20,0.330231234
2.Frequency,Sub183,0.329748751
13.dancing,Sub5,0.329379061
9.status,Sub183,0.329127336
13.keep pets,Sub204,0.32898484
2.Frequency,Sub71,0.328799649
13.DIY,Sub85,0.327162655
7.qualification,Sub32,0.326795932
13.cooking,Sub124,0.326728351
13.anime,Sub161,0.326024142
6.weight,Sub224,0.325383405
13.technology,Sub199,0.324852084
13.skincare,Sub31,0.324732804
13.photography,Sub22,0.324548824
11.CGPA,Sub233,0.323333383
6.weight,Sub225,0.32240581
2.Frequency,Sub195,0.322109355
3.gender,Sub235,0.321286819
13.travelling,Sub220,0.318235889
3.gender,Sub22,0.318014282
7.qualification,Sub33,0.315579123
5.height,Sub224,0.315545038
7.qualification,Sub30,0.313622839
13.photography,Sub215,0.311982258
9.status,Sub154,0.311262388
13.TV series,Sub136,0.310933017
13.cooking,Sub201,0.310821844
9.status,Sub221,0.31078111
13.DIY,Sub207,0.310761668
13.technology,Sub226,0.310232279
12.monthly expenditure,Sub210,0.309709542
8.living area,Sub227,0.309623384
13.music,Sub203,0.309275462
13.starchaaser,Sub71,0.308696392
5.height,Sub176,0.30763306
13.music,Sub206,0.307597777
13.anime,Sub173,0.307478912
13.skincare,Sub17,0.306720543
13.music,Sub204,0.306375559
13.TV series,Sub172,0.305934459
8.living area,Sub157,0.305576967
13.anime,Sub138,0.305314078
2.Frequency,Sub226,0.305270707
13.DIY,Sub124,0.305223
11.CGPA,Sub180,0.304947826
5.height,Sub184,0.304723773
4.age,Sub124,0.302615528
13.starchaaser,Sub210,0.302288847
13.online shopping,Sub158,0.30198992
13.automobile,Sub95,0.301708931
13.TV series,Sub213,0.301550071
13.online shopping,Sub215,0.300469638
7.qualification,Sub205,0.298434792
13.online shopping,Sub207,0.297240493
13.technology,Sub233,0.297163561
13.game,Sub157,0.296990436
13.music,Sub236,0.296837405
6.weight,Sub176,0.2963747
3.gender,Sub198,0.296368325
13.anime,Sub157,0.296114034
13.skincare,Sub210,0.295961252
11.CGPA,Sub127,0.295624747
5.height,Sub226,0.294885202
2.Frequency,Sub30,0.294497847
13.personal finance,Sub95,0.294236312
13.anime,Sub171,0.294025061
13.starchaaser,Sub184,0.293954091
13.skincare,Sub59,0.293375626
13.collection,Sub199,0.293138712
13.game,Sub27,0.292937754
13.TV series,Sub159,0.292889021
13.skincare,Sub171,0.292835557
3.gender,Sub226,0.291863255
13.DIY,Sub169,0.29087455
13.technology,Sub157,0.29080211
11.CGPA,Sub176,0.290713385
5.height,Sub1,0.290658858
13.online shopping,Sub124,0.290609006
8.living area,Sub86,0.290509509
13.cooking,Sub213,0.290483367
5.height,Sub153,0.290127825
6.weight,Sub157,0.289918289
13.anime,Sub221,0.28956913
13.anime,Sub28,0.289246974
13.keep pets,Sub19,0.28812995
13.photography,Sub216,0.288063143
2.Frequency,Sub86,0.287114307
11.CGPA,Sub178,0.287076077
13.TV series,Sub22,0.286285851
9.status,Sub27,0.286211558
13.photography,Sub213,0.285399594
3.gender,Sub216,0.285383701
13.cooking,Sub232,0.284926808
13.game,Sub173,0.284725706
13.TV series,Sub185,0.284501628
2.Frequency,Sub219,0.284388557
13.technology,Sub158,0.284210153
13.keep pets,Sub203,0.284044644
13.cooking,Sub95,0.283767932
13.skincare,Sub65,0.283242321
6.weight,Sub27,0.282528507
13.game,Sub224,0.282514247
13.anime,Sub159,0.282423471
2.Frequency,Sub224,0.281764723
3.gender,Sub137,0.281518632
13.online shopping,Sub59,0.281299831
5.height,Sub95,0.281083418
13.skincare,Sub121,0.280589941
5.height,Sub137,0.280545925
3.gender,Sub20,0.280454304
13.skincare,Sub159,0.280363406
13.online shopping,Sub201,0.280080801
13.starchaaser,Sub215,0.279782673
3.gender,Sub173,0.279310432
13.cooking,Sub226,0.278995218
7.qualification,Sub220,0.278854103
3.gender,Sub224,0.278721314
12.monthly expenditure,Sub121,0.278610048
13.movie,Sub230,0.278341881
13.travelling,Sub225,0.277725834
13.anime,Sub220,0.277694597
13.movie,Sub25,0.276985666
7.qualification,Sub86,0.276597766
13.keep pets,Sub222,0.27530211
13.technology,Sub176,0.275197262
13.game,Sub22,0.275166176
2.Frequency,Sub95,0.27510174
13.online shopping,Sub228,0.275062045
8.living area,Sub200,0.274832911
13.online shopping,Sub185,0.273531671
9.status,Sub164,0.273475788
6.weight,Sub19,0.273181608
13.music,Sub176,0.273029396
9.status,Sub85,0.272190921
13.sports,Sub85,0.272141452
13.cooking,Sub230,0.271986778
13.anime,Sub195,0.271080366
13.TV series,Sub171,0.271056224
8.living area,Sub198,0.271032427
7.qualification,Sub21,0.270781355
13.music,Sub219,0.270233481
13.personal finance,Sub182,0.270187311
8.living area,Sub171,0.269495601
2.Frequency,Sub121,0.268974864
13.skincare,Sub27,0.268787849
2.Frequency,Sub29,0.268656539
3.gender,Sub156,0.26862674
13.collection,Sub239,0.267699675
13.keep pets,Sub206,0.26734077
13.online shopping,Sub198,0.267007429
3.gender,Sub121,0.26670463
5.height,Sub237,0.266534082
5.height,Sub121,0.266153496
9.status,Sub193,0.265298135
6.weight,Sub200,0.264981317
13.game,Sub86,0.264781544
13.collection,Sub238,0.264477517
2.Frequency,Sub75,0.264360916
5.height,Sub17,0.263468522
13.DIY,Sub204,0.263068384
7.qualification,Sub193,0.263004238
13.keep pets,Sub218,0.262986721
13.cooking,Sub122,0.26276476
2.Frequency,Sub136,0.262642177
2.Frequency,Sub170,0.262320582
6.weight,Sub172,0.262040071
6.weight,Sub169,0.261196385
13.photography,Sub212,0.261140621
13.music,Sub21,0.260998946
7.qualification,Sub28,0.259785473
13.photography,Sub126,0.259547061
13.anime,Sub232,0.258945923
9.status,Sub75,0.258866852
13.automobile,Sub169,0.257537392
2.Frequency,Sub28,0.257210145
13.cooking,Sub5,0.256978084
13.cooking,Sub5,0.256978084
7.qualification,Sub157,0.256213464
11.CGPA,Sub171,0.255637401
9.status,Sub237,0.255390001
13.collection,Sub193,0.255234523
13.movie,Sub136,0.255096794
13.TV series,Sub157,0.254906354
13.anime,Sub152,0.254581423
13.skincare,Sub199,0.254425988
13.photography,Sub164,0.254380387
3.gender,Sub126,0.253792571
13.sports,Sub136,0.253370101
9.status,Sub71,0.253118645
6.weight,Sub153,0.25306207
13.keep pets,Sub208,0.252910969
13.music,Sub1,0.252773773
13.photography,Sub222,0.252687301
13.keep pets,Sub235,0.251837728
13.movie,Sub47,0.251787161
11.CGPA,Sub137,0.251137052
13.starchaaser,Sub228,0.250539114
13.TV series,Sub216,0.250119202
13.online shopping,Sub32,0.249670106
13.travelling,Sub185,0.249079418
3.gender,Sub207,0.248504715
3.gender,Sub24,0.248399203
13.technology,Sub231,0.24835672
13.skincare,Sub47,0.248257176
13.skincare,Sub30,0.248006095
13.game,Sub168,0.247854009
5.height,Sub161,0.247392092
13.photography,Sub153,0.247084332
13.DIY,Sub47,0.247041676
13.cooking,Sub76,0.246872262
13.cooking,Sub206,0.246683177
7.qualification,Sub183,0.246649411
3.gender,Sub1,0.246571214
13.game,Sub24,0.24597202
13.TV series,Sub30,0.245679613
5.height,Sub183,0.245667206
13.sports,Sub17,0.245261601
7.qualification,Sub206,0.245062258
13.starchaaser,Sub193,0.245029398
13.online shopping,Sub156,0.244350728
13.skincare,Sub76,0.24430976
13.collection,Sub137,0.244102279
13.technology,Sub232,0.244032375
2.Frequency,Sub193,0.243992659
13.online shopping,Sub33,0.243738098
13.skincare,Sub25,0.24277546
6.weight,Sub237,0.242740035
13.movie,Sub95,0.242133355
13.skincare,Sub173,0.241749632
12.monthly expenditure,Sub27,0.241739215
11.CGPA,Sub179,0.241663733
5.height,Sub31,0.241370125
13.dancing,Sub71,0.241094431
2.Frequency,Sub24,0.240776319
13.cooking,Sub21,0.240501334
12.monthly expenditure,Sub170,0.240409087
2.Frequency,Sub225,0.240277287
6.weight,Sub17,0.240235454
13.personal finance,Sub213,0.240118025
13.game,Sub235,0.239631429
13.TV series,Sub26,0.239566221
9.status,Sub47,0.239477011
13.online shopping,Sub26,0.239443482
13.music,Sub25,0.239191082
13.DIY,Sub31,0.239094318
13.TV series,Sub224,0.238873993
13.game,Sub20,0.238521292
13.skincare,Sub26,0.237955986
13.painting or calligraphy,Sub31,0.237904513
6.weight,Sub20,0.23777835
5.height,Sub214,0.237614906
13.movie,Sub122,0.23753833
6.weight,Sub31,0.237145773
13.anime,Sub219,0.236722631
13.collection,Sub168,0.236493295
8.living area,Sub226,0.236190973
13.cooking,Sub176,0.235992577
13.game,Sub47,0.235901263
11.CGPA,Sub214,0.235806108
2.Frequency,Sub161,0.235503767
11.CGPA,Sub37,0.235463158
11.CGPA,Sub95,0.235369845
13.TV series,Sub226,0.234911018
13.automobile,Sub138,0.234799359
13.anime,Sub1,0.234785494
13.movie,Sub210,0.234689277
11.CGPA,Sub199,0.234679866
12.monthly expenditure,Sub17,0.234575245
8.living area,Sub224,0.234301721
6.weight,Sub136,0.234173415
13.keep pets,Sub205,0.233985139
13.sports,Sub208,0.233304552
3.gender,Sub26,0.23322352
9.status,Sub228,0.233135716
13.TV series,Sub71,0.232873017
5.height,Sub27,0.232252026
13.sports,Sub184,0.232001196
13.cooking,Sub220,0.231778785
13.technology,Sub193,0.231553844
13.cooking,Sub195,0.231498498
3.gender,Sub154,0.231487354
13.personal finance,Sub227,0.231440943
13.painting or calligraphy,Sub25,0.231426116
12.monthly expenditure,Sub59,0.231233647
2.Frequency,Sub235,0.230215149
9.status,Sub95,0.230170867
3.gender,Sub180,0.229480028
7.qualification,Sub237,0.229378374
13.game,Sub153,0.22933603
13.collection,Sub210,0.229022944
13.anime,Sub207,0.22893506
13.keep pets,Sub182,0.228471026
2.Frequency,Sub130,0.227855761
13.technology,Sub198,0.226903638
13.technology,Sub17,0.226702441
13.anime,Sub160,0.22600837
8.living area,Sub137,0.225961746
6.weight,Sub213,0.225866672
2.Frequency,Sub153,0.225682902
3.gender,Sub214,0.225570779
13.game,Sub161,0.225567235
3.gender,Sub160,0.225496457
13.technology,Sub221,0.225423784
8.living area,Sub210,0.225412458
13.starchaaser,Sub176,0.225346122
13.technology,Sub59,0.225244208
13.TV series,Sub225,0.224797486
8.living area,Sub235,0.224662802
13.sports,Sub127,0.224200721
13.painting or calligraphy,Sub136,0.224135966
13.music,Sub75,0.223622562
13.anime,Sub218,0.223526903
6.weight,Sub208,0.223504489
13.music,Sub221,0.222905776
13.skincare,Sub86,0.222767154
13.travelling,Sub51,0.222678803
13.technology,Sub75,0.222455076
13.technology,Sub130,0.222399136
13.anime,Sub205,0.222200451
13.travelling,Sub179,0.222162473
8.living area,Sub153,0.222024006
2.Frequency,Sub206,0.221924604
2.Frequency,Sub232,0.22191856
11.CGPA,Sub20,0.221816332
3.gender,Sub28,0.221602258
13.personal finance,Sub215,0.220883722
2.Frequency,Sub137,0.220876704
9.status,Sub233,0.219035863
5.height,Sub71,0.218948524
9.status,Sub130,0.218783473
13.dancing,Sub185,0.218779525
6.weight,Sub173,0.218285545
13.painting or calligraphy,Sub161,0.218282676
12.monthly expenditure,Sub172,0.218241063
13.skincare,Sub95,0.21792001
13.music,Sub201,0.217694281
13.technology,Sub124,0.217690749
9.status,Sub161,0.217652157
7.qualification,Sub203,0.217592481
7.qualification,Sub227,0.217577619
13.movie,Sub222,0.217576567
13.dancing,Sub201,0.217436349
13.keep pets,Sub173,0.217407146
12.monthly expenditure,Sub31,0.217297453
5.height,Sub19,0.217106842
13.TV series,Sub183,0.217039998
13.TV series,Sub127,0.216985957
13.travelling,Sub37,0.216957436
9.status,Sub219,0.216921876
12.monthly expenditure,Sub168,0.216874892
13.sports,Sub138,0.216795813
13.TV series,Sub179,0.216765488
13.game,Sub216,0.216662323
13.skincare,Sub22,0.216399622
13.starchaaser,Sub224,0.216307436
13.TV series,Sub237,0.216259078
5.height,Sub220,0.216161683
13.anime,Sub226,0.216161513
2.Frequency,Sub220,0.215958285
7.qualification,Sub85,0.215951037
13.online shopping,Sub214,0.215940188
13.skincare,Sub153,0.215683774
8.living area,Sub207,0.215518742
13.music,Sub235,0.215431233
13.cooking,Sub156,0.215421998
13.cooking,Sub236,0.215338044
3.gender,Sub179,0.215046856
13.movie,Sub21,0.214934609
7.qualification,Sub221,0.214127187
13.game,Sub226,0.214008326
13.cooking,Sub75,0.213844229
9.status,Sub153,0.213631511
13.music,Sub124,0.213497792
13.cooking,Sub205,0.213366205
2.Frequency,Sub180,0.21333618
13.anime,Sub147,0.213229656
13.keep pets,Sub158,0.213143666
7.qualification,Sub229,0.212407152
13.anime,Sub154,0.212281401
13.sports,Sub219,0.211931728
8.living area,Sub237,0.211477055
3.gender,Sub204,0.211352865
3.gender,Sub158,0.21133426
13.keep pets,Sub1,0.211261079
13.online shopping,Sub83,0.211220674
13.online shopping,Sub83,0.211220674
13.sports,Sub71,0.211183947
13.game,Sub1,0.210912384
3.gender,Sub205,0.210709853
13.technology,Sub213,0.210703877
8.living area,Sub127,0.210684067
13.online shopping,Sub145,0.210622927
9.status,Sub124,0.210607042
7.qualification,Sub25,0.21044978
3.gender,Sub170,0.210426893
13.TV series,Sub37,0.210409743
12.monthly expenditure,Sub24,0.209582158
13.anime,Sub20,0.209406271
13.automobile,Sub65,0.209293195
13.painting or calligraphy,Sub209,0.209191416
5.height,Sub145,0.209000978
5.height,Sub83,0.208611847
5.height,Sub83,0.208611847
13.anime,Sub228,0.208610933
2.Frequency,Sub22,0.208579083
13.collection,Sub26,0.20832866
5.height,Sub20,0.207812253
12.monthly expenditure,Sub153,0.207788133
11.CGPA,Sub1,0.207292573
13.anime,Sub206,0.207154355
13.TV series,Sub180,0.207063942
13.music,Sub28,0.206942616
13.collection,Sub47,0.20680263
5.height,Sub24,0.206795692
13.music,Sub85,0.206711431
5.height,Sub147,0.206448139
13.personal finance,Sub220,0.206346724
13.DIY,Sub27,0.206198123
8.living area,Sub220,0.206173959
12.monthly expenditure,Sub65,0.205979885
3.gender,Sub47,0.205911493
9.status,Sub158,0.205849098
8.living area,Sub193,0.205766977
13.online shopping,Sub22,0.20560992
13.DIY,Sub21,0.205607224
4.age,Sub31,0.205526716
13.cooking,Sub85,0.205365626
7.qualification,Sub47,0.2053565
13.online shopping,Sub147,0.205212159
11.CGPA,Sub51,0.205142099
3.gender,Sub200,0.205046027
13.sports,Sub213,0.204780551
9.status,Sub121,0.204775853
13.movie,Sub32,0.204520281
13.game,Sub198,0.204076538
13.music,Sub184,0.203809551
13.DIY,Sub201,0.203760087
13.movie,Sub229,0.203495553
9.status,Sub239,0.203491504
13.keep pets,Sub210,0.203322884
13.anime,Sub198,0.203167253
11.CGPA,Sub184,0.202836494
13.game,Sub213,0.202777877
5.height,Sub198,0.202587286
7.qualification,Sub137,0.202556448
13.game,Sub76,0.202513207
13.keep pets,Sub25,0.202499912
8.living area,Sub156,0.202474605
7.qualification,Sub232,0.202218252
13.starchaaser,Sub213,0.202098215
2.Frequency,Sub171,0.201718572
13.skincare,Sub214,0.201700084
13.online shopping,Sub237,0.201687138
3.gender,Sub169,0.201658653
13.technology,Sub212,0.201601426
13.sports,Sub207,0.201590036
13.anime,Sub145,0.201528266
13.painting or calligraphy,Sub86,0.201450468
13.game,Sub176,0.201416407
11.CGPA,Sub31,0.201393299
13.skincare,Sub24,0.201375982
13.DIY,Sub71,0.201287725
3.gender,Sub95,0.201218502
13.technology,Sub173,0.201178232
4.age,Sub209,0.201045994
13.TV series,Sub220,0.201019347
11.CGPA,Sub208,0.200901449
13.painting or calligraphy,Sub158,0.200844685
13.travelling,Sub173,0.200615884
6.weight,Sub162,0.20055762
3.gender,Sub208,0.20054695
13.anime,Sub146,0.200473199
13.anime,Sub83,0.200473198
2.Frequency,Sub205,0.20041471
13.online shopping,Sub122,0.199725122
13.sports,Sub183,0.199718533
13.personal finance,Sub201,0.199688631
3.gender,Sub37,0.199684454
13.technology,Sub216,0.199363645
13.game,Sub208,0.199341903
13.automobile,Sub121,0.199338877
13.skincare,Sub238,0.19922398
13.skincare,Sub168,0.199155749
13.cooking,Sub24,0.19900842
13.technology,Sub201,0.198483221
9.status,Sub126,0.198397203
13.cooking,Sub215,0.198389886
13.technology,Sub207,0.198185594
7.qualification,Sub218,0.197997744
13.starchaaser,Sub95,0.197891255
13.technology,Sub204,0.197757508
12.monthly expenditure,Sub173,0.197611944
5.height,Sub193,0.197582849
13.automobile,Sub17,0.19757192
13.travelling,Sub178,0.197357801
13.cooking,Sub204,0.197328671
11.CGPA,Sub193,0.197304571
13.keep pets,Sub147,0.197122014
2.Frequency,Sub203,0.197111185
2.Frequency,Sub214,0.196660182
13.game,Sub30,0.196651813
13.skincare,Sub176,0.196637534
13.DIY,Sub225,0.196623105
12.monthly expenditure,Sub1,0.196225513
13.personal finance,Sub85,0.19617454
13.cooking,Sub228,0.196088169
13.personal finance,Sub138,0.195974747
13.TV series,Sub178,0.195860918
9.status,Sub206,0.19584847
13.travelling,Sub207,0.195845736
13.music,Sub218,0.195832926
11.CGPA,Sub71,0.195806049
13.game,Sub126,0.19579187
13.technology,Sub200,0.195355866
9.status,Sub17,0.195120206
13.skincare,Sub20,0.19507158
12.monthly expenditure,Sub221,0.195012929
5.height,Sub200,0.194842413
13.travelling,Sub138,0.1948017
13.cooking,Sub170,0.194756425
6.weight,Sub214,0.194404305
8.living area,Sub65,0.194286932
7.qualification,Sub231,0.19422655
13.cooking,Sub203,0.19412471
11.CGPA,Sub209,0.193829701
13.online shopping,Sub208,0.193721886
13.skincare,Sub126,0.193538717
9.status,Sub172,0.193272245
13.collection,Sub236,0.193205152
13.starchaaser,Sub17,0.193094056
13.photography,Sub21,0.192700128
2.Frequency,Sub216,0.19266836
13.keep pets,Sub212,0.192653487
13.movie,Sub201,0.192617134
13.game,Sub215,0.192535066
13.skincare,Sub226,0.192386143
6.weight,Sub76,0.192259615
13.painting or calligraphy,Sub75,0.192183932
13.game,Sub28,0.192177532
9.status,Sub29,0.19210608
13.keep pets,Sub225,0.192100339
11.CGPA,Sub207,0.192086988
13.dancing,Sub17,0.191775698
9.status,Sub203,0.191454109
13.technology,Sub152,0.191336198
13.TV series,Sub232,0.191126106
8.living area,Sub162,0.191111744
2.Frequency,Sub124,0.190889863
13.painting or calligraphy,Sub212,0.190833624
13.game,Sub182,0.190753464
13.painting or calligraphy,Sub29,0.190175427
13.online shopping,Sub157,0.189943693
13.technology,Sub76,0.18978456
13.sports,Sub30,0.189628148
13.dancing,Sub27,0.189365238
9.status,Sub24,0.18930625
13.keep pets,Sub146,0.189282397
13.keep pets,Sub83,0.189282396
2.Frequency,Sub229,0.189206368
13.technology,Sub205,0.189115375
8.living area,Sub238,0.188939476
13.keep pets,Sub145,0.188937957
2.Frequency,Sub215,0.188879099
13.music,Sub214,0.188607911
13.keep pets,Sub122,0.188333557
13.personal finance,Sub225,0.187914739
4.age,Sub176,0.18772256
13.movie,Sub33,0.187688585
3.gender,Sub213,0.187585095
13.travelling,Sub152,0.187572854
13.technology,Sub239,0.187371594
13.cooking,Sub209,0.187283487
13.movie,Sub233,0.187170168
13.keep pets,Sub85,0.187046407
13.starchaaser,Sub230,0.186673001
13.personal finance,Sub208,0.18654955
9.status,Sub22,0.186474845
8.living area,Sub239,0.186469989
13.game,Sub5,0.186431497
13.travelling,Sub232,0.186218641
13.skincare,Sub162,0.186115126
8.living area,Sub214,0.185978819
2.Frequency,Sub204,0.185159402
5.height,Sub47,0.185069212
2.Frequency,Sub184,0.184861556
5.height,Sub225,0.184777579
13.TV series,Sub145,0.184578859
13.sports,Sub218,0.184508658
13.music,Sub231,0.18435325
13.technology,Sub29,0.184339986
13.TV series,Sub147,0.184204247
13.online shopping,Sub170,0.183899486
13.TV series,Sub83,0.183895957
13.TV series,Sub83,0.183895957
13.game,Sub180,0.183738467
13.starchaaser,Sub47,0.183674975
13.sports,Sub215,0.183618293
13.online shopping,Sub159,0.183607055
13.painting or calligraphy,Sub207,0.183562349
13.starchaaser,Sub21,0.183441054
2.Frequency,Sub65,0.183308965
13.game,Sub75,0.183131367
13.technology,Sub209,0.183096536
11.CGPA,Sub232,0.1830614
13.DIY,Sub193,0.183030554
5.height,Sub86,0.182770204
2.Frequency,Sub37,0.182767104
13.sports,Sub209,0.182343987
13.music,Sub229,0.182312229
12.monthly expenditure,Sub30,0.18220806
13.movie,Sub170,0.181853883
13.TV series,Sub204,0.181808828
13.movie,Sub153,0.181736511
5.height,Sub169,0.181691674
13.technology,Sub183,0.181593897
13.cooking,Sub233,0.181515302
9.status,Sub222,0.181349261
12.monthly expenditure,Sub195,0.181087489
9.status,Sub182,0.180927178
13.starchaaser,Sub153,0.180897513
11.CGPA,Sub231,0.180795275
7.qualification,Sub121,0.180579217
13.DIY,Sub170,0.180567219
13.cooking,Sub180,0.180483621
13.cooking,Sub229,0.180437493
7.qualification,Sub71,0.180082806
9.status,Sub28,0.179836813
7.qualification,Sub76,0.179656603
13.skincare,Sub51,0.179497202
3.gender,Sub219,0.179391431
3.gender,Sub203,0.179324937
9.status,Sub159,0.179292251
2.Frequency,Sub185,0.179286397
8.living area,Sub95,0.179225588
13.travelling,Sub31,0.17918384
13.online shopping,Sub19,0.179096264
13.keep pets,Sub136,0.179065089
13.photography,Sub95,0.178747252
13.dancing,Sub26,0.178340608
8.living area,Sub172,0.177764236
13.anime,Sub162,0.177295881
8.living area,Sub121,0.177204447
13.online shopping,Sub86,0.177137626
13.photography,Sub161,0.177073203
13.cooking,Sub219,0.177039369
7.qualification,Sub235,0.176951767
3.gender,Sub225,0.176886376
13.travelling,Sub32,0.176852669
3.gender,Sub237,0.176600723
7.qualification,Sub138,0.1763281
13.travelling,Sub171,0.176318514
13.game,Sub122,0.17610893
13.cooking,Sub152,0.176039196
13.cooking,Sub65,0.175944785
13.game,Sub156,0.175923902
6.weight,Sub95,0.175862607
6.weight,Sub207,0.175631734
3.gender,Sub168,0.175559291
13.technology,Sub222,0.175495553
13.technology,Sub215,0.175169596
13.online shopping,Sub231,0.175149857
13.travelling,Sub1,0.175136239
8.living area,Sub31,0.175039851
13.TV series,Sub25,0.174877191
13.personal finance,Sub127,0.174763936
13.collection,Sub25,0.174719759
6.weight,Sub130,0.174479878
4.age,Sub219,0.174439304
13.game,Sub200,0.174367596
11.CGPA,Sub230,0.174362261
13.technology,Sub85,0.174343806
13.technology,Sub154,0.17434041
9.status,Sub176,0.174165322
13.cooking,Sub37,0.173939626
13.travelling,Sub33,0.173805993
13.sports,Sub221,0.17365692
13.dancing,Sub173,0.17361909
13.painting or calligraphy,Sub238,0.17355221
13.cooking,Sub179,0.173436451
2.Frequency,Sub127,0.173407945
